Country,Year,"Death rates per 100,000",GDP per capita,Population,Continent,,
Seychelles,2005,53.8,15172.56,88652,Africa,,
Seychelles,2010,42.4,20147.18,91273,Africa,,
Seychelles,2015,35.9,25690,94981,Africa,,
Sierra Leone,2000,271.6,828.79,4584570,Africa,,
Sierra Leone,2005,285.7,1223.7,5645629,Africa,,
Sierra Leone,2010,281.4,1421.15,6415636,Africa,,
Sierra Leone,2015,253.2,1563,7171909,Africa,,
Singapore,2000,48.9,37772.76,4028872,Asia,,
Singapore,2005,48.6,44698.84,4265693,Asia,,
Singapore,2010,35.3,58612.73,5131170,Asia,,
Singapore,2015,33,65660,5592143,Asia,,
Slovakia,2000,83.7,13904.99,5399207,Europe,,
Slovakia,2005,69.8,17649.52,5398962,Europe,,
Slovakia,2010,60.6,21941.21,5404293,Europe,,
Slovakia,2015,49.7,24588,5435614,Europe,,
Slovenia,2000,54.3,21501.34,1987710,Europe,,
Slovenia,2005,41.2,24966.94,1994979,Europe,,
Slovenia,2010,32.3,26000.92,2043336,Europe,,
Slovenia,2015,31.2,26268,2071199,Europe,,
Solomon Islands,2000,219.4,26268,412665,Oceania,,
Solomon Islands,2005,221.3,26268,469918,Oceania,,
Solomon Islands,2010,195.7,26268,527861,Oceania,,
Solomon Islands,2015,179.1,26268,603133,Oceania,,
Somalia,2000,293.3,26268,8872250,Africa,,
Somalia,2005,271.5,26268,10446856,Africa,,
Somalia,2010,274.3,26268,12043886,Africa,,
Somalia,2015,264.5,26268,13797204,Africa,,
South Africa,2000,202.6,7582.78,44967713,Africa,,
South Africa,2005,164.1,9393.69,47880595,Africa,,
South Africa,2010,124.4,11318.6,51216967,Africa,,
South Africa,2015,106.7,12246,55386369,Africa,,
South Korea,2000,42,23108.02,47379237,Asia,,
South Korea,2005,32.8,27443.28,48701069,Asia,,
South Korea,2010,27.6,31537.77,49545638,Asia,,
South Korea,2015,28.3,5366.59,50823087,Asia,,
Spain,2000,24.8,26994.86,40824745,Europe,,
Spain,2005,21.2,30885.6,44019118,Europe,,
Spain,2010,16.8,31786.4,46931011,Europe,,
Spain,2015,15.4,31847,46671919,Europe,,
Sri Lanka,2000,110.3,5841.09,18777606,Asia,,
Sri Lanka,2005,110.9,6491.2,19544988,Asia,,
Sri Lanka,2010,94,8319.7,20261738,Asia,,
Sri Lanka,2015,79.4,10763,20908024,Asia,,
Sudan,2000,253.9,1951.47,27275019,Africa,,
Sudan,2005,240.2,2642.52,30949514,Africa,,
Sudan,2010,211.7,3707.3,34545014,Africa,,
Sudan,2015,191.6,3625,38902948,Africa,,
Sweden,2000,14.5,34202.6,8881642,Europe,,
Sweden,2005,10.7,39258.99,9038627,Europe,,
Sweden,2010,9.6,42634.75,9390157,Europe,,
Sweden,2015,11.4,43746,9764949,Europe,,
Switzerland,2000,23.4,43251.1,7143764,Europe,,
Switzerland,2005,18.8,49273.9,7386818,Europe,,
Switzerland,2010,16.2,57219.5,7808674,Europe,,
Switzerland,2015,16.4,59307,8296775,Europe,,
Syria,2000,80.3,7668.07,16410847,Asia,,
Syria,2005,73.7,7037.72,18361178,Asia,,
Syria,2010,73.9,6520.61,21362541,Asia,,
Syria,2015,74.6,3049,17997411,Asia,,
Taiwan,2000,42.1,26787.45,21966528,Asia,,
Taiwan,2005,39.7,31374.45,22705719,Asia,,
Taiwan,2010,37.6,37385.49,23187556,Asia,,
Taiwan,2015,35.8,41668,23557473,Asia,,
Tajikistan,2000,292.6,1723.36,6216329,Asia,,
Tajikistan,2005,222.4,2416.87,6789318,Asia,,
Tajikistan,2010,183.7,2975.93,7527397,Asia,,
Tajikistan,2015,153.9,3789,8454019,Asia,,
Tanzania,2000,210.3,1148.68,33499177,Africa,,
Tanzania,2005,187.6,1554.15,38450323,Africa,,
Tanzania,2010,175.5,2068.86,44346532,Africa,,
Tanzania,2015,176.3,2566,51482638,Africa,,
Thailand,2000,99.9,9627.1,62952639,Asia,,
Thailand,2005,83.8,11742.13,65416189,Asia,,
Thailand,2010,73.7,13343.55,67195032,Asia,,
Thailand,2015,71.7,15020,68714519,Asia,,
Togo,2000,277.4,1150.37,4924406,Africa,,
Togo,2005,260.2,1119.8,5611643,Africa,,
Togo,2010,249.6,1191.14,6421674,Africa,,
Togo,2015,234.1,1370,7323162,Africa,,
Trinidad and Tobago,2000,60.2,19179.92,1267159,North America,,
Trinidad and Tobago,2005,43.2,26651.83,1296497,North America,,
Trinidad and Tobago,2010,36.3,30235.99,1328144,North America,,
Trinidad and Tobago,2015,38.5,30702,1370332,North America,,
Tunisia,2000,59.7,7548.44,9708347,Asia,,
Tunisia,2005,46,8983.38,10106778,Asia,,
Tunisia,2010,45.7,10721.81,10635245,Asia,,
Tunisia,2015,49.4,11060,11179951,Asia,,
Turkey,2000,77.9,11904.01,63240196,Europe,,
Turkey,2005,58.9,14487.76,67903461,Europe,,
Turkey,2010,46.4,16528.12,72326992,Europe,,
Turkey,2015,45.5,19836,78529413,Europe,,
Turkmenistan,2000,160.1,4173.19,4516128,Asia,,
Turkmenistan,2005,115.6,8791.68,4754652,Asia,,
Turkmenistan,2010,113.3,14397.15,5087211,Asia,,
Turkmenistan,2015,102,22675,5565283,Asia,,
Uganda,2000,276.1,1191.95,23650159,Africa,,
Uganda,2005,255.2,1451.1,27684590,Africa,,
Uganda,2010,223.9,1831.29,32428164,Africa,,
Uganda,2015,217.1,1954,38225447,Africa,,
Ukraine,2000,128.1,5165.81,48838058,Europe,,
Ukraine,2005,115.9,8496.68,46890775,Europe,,
Ukraine,2010,93.2,9601.21,45792086,Europe,,
Ukraine,2015,82.9,8961,44921636,Europe,,
United Arab Emirates,2000,106.1,48888.03,3134067,Asia,,
United Arab Emirates,2005,85.6,65599.06,4588222,Asia,,
United Arab Emirates,2010,89.1,60112.4,8549998,Asia,,
United Arab Emirates,2015,87.5,74746,9262896,Asia,,
United Kingdom,2000,37.5,31946.04,58923305,Europe,,
United Kingdom,2005,29.7,35623.63,60287953,Europe,,
United Kingdom,2010,24.7,34754.47,63459801,Europe,,
United Kingdom,2015,23.7,36941,65860149,Europe,,
United States,2000,32.6,45886.47,281421906,North America,,*
United States,2005,28.2,49654.76,295516599,North America,,
United States,2010,21.6,49266.92,308745538,North America,,
United States,2015,20.7,52591,320878310,North America,,
Uruguay,2000,38.4,13050.06,3319734,South America,,
Uruguay,2005,33.4,12757.5,3321799,South America,,
Uruguay,2010,30,16415.63,3359273,South America,,
Uruguay,2015,27.5,19244,3412013,South America,,
Uzbekistan,2000,176.5,4667.26,24769955,Asia,,
Uzbekistan,2005,151.9,5284,26427785,Asia,,
Uzbekistan,2010,134.6,7002.86,28515908,Asia,,
Uzbekistan,2015,122.3,9720,30929556,Asia,,
Venezuela,2000,58.4,13992.61,24192449,South America,,
Venezuela,2005,51,14944.34,26432445,South America,,
Venezuela,2010,44.2,17105.58,28439942,South America,,
Venezuela,2015,45.9,18802,30081827,South America,,
Vietnam,2000,128.7,2773.1,79910411,Asia,,
Vietnam,2005,116.3,3637.66,83832662,Asia,,
Vietnam,2010,96.4,4571.85,87967655,Asia,,
Vietnam,2015,86.7,5763,92677082,Asia,,
Yemen,2000,235.4,4212.11,17409071,Asia,,
Yemen,2005,204.8,4485.58,20107416,Asia,,
Yemen,2010,193.5,4812.35,23154854,Asia,,
Yemen,2015,183.4,2844,26497881,Asia,,
Zambia,2000,292,1428.5,10415942,Africa,,
Zambia,2005,295.1,1970.02,11856244,Africa,,
Zambia,2010,271,3032.07,13605986,Africa,,
Zambia,2015,243.1,3478,15879370,Africa,,
Zimbabwe,2000,203.7,2211.2,11881482,Africa,,
Zimbabwe,2005,246.4,1496.03,12076697,Africa,,
Zimbabwe,2010,236.6,1401.86,12697728,Africa,,
Zimbabwe,2015,181.2,1560,13814642,Africa,,
